Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,10u,C_0201_0603Metric,118.0,-62.0,0.0,top
C11,10u,C_0201_0603Metric,129.5,-53.0,0.0,top
C12,22u,C_0201_0603Metric,130.845,-61.5,0.0,top
C13,1u,C_0201_0603Metric,85.845,-62.0,0.0,top
C14,4.7u,C_0201_0603Metric,82.345,-80.5,0.0,top
C15,4.7u,C_0201_0603Metric,91.845,-78.0,0.0,top
C3,10u,C_0201_0603Metric,120.345,-67.0,0.0,top
C4,22u,C_0201_0603Metric,84.345,-74.5,0.0,top
C5,22u,C_0201_0603Metric,84.345,-92.0,0.0,top
C6,0.01u,C_0201_0603Metric,118.345,-89.0,0.0,top
C7,0.01u,C_0201_0603Metric,79.345,-67.0,0.0,top
C8,10u,C_0201_0603Metric,140.345,-93.0,0.0,top
C9,10u,C_0201_0603Metric,65.845,-64.0,0.0,top
D1,LED,LED_0201_0603Metric,108.345,-77.5,0.0,top
D2,LED,LED_0201_0603Metric,101.845,-78.0,0.0,top
J1,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,101.85,-104.77,90.0,bottom
J2,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,141.0,-58.45,180.0,top
J3,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,69.32,-55.9,180.0,top
Q1,NPN,TO-92L_HandSolder,95.27,-69.865,0.0,top
Q2,PMOS,TO-92L_Inline,96.2,-89.19,0.0,top
Q3,PMOS,TO-92L_Inline,108.7,-88.81,0.0,top
R10,100k,R_0201_0603Metric,66.845,-94.0,0.0,top
R11,100k,R_0201_0603Metric,72.845,-69.0,0.0,top
R12,6.8K,R_0201_0603Metric,79.845,-52.0,0.0,top
R13,10k,R_0201_0603Metric,120.345,-71.0,0.0,top
R14,74K,R_0201_0603Metric,142.155,-74.5,0.0,top
R15,1k,R_0201_0603Metric,130.845,-57.0,0.0,top
R16,1640,R_0201_0603Metric,105.845,-53.0,0.0,top
R19,2K,R_0201_0603Metric,112.5,-74.5,0.0,top
R20,2K,R_0201_0603Metric,97.345,-77.5,0.0,top
R21,1K,R_0201_0603Metric,91.345,-70.5,0.0,top
R22,1483,R_0201_0603Metric,96.345,-65.0,0.0,top
R23,4450,R_0201_0603Metric,108.345,-61.5,0.0,top
R24,10k,R_0201_0603Metric,103.345,-63.0,0.0,top
R25,4.12k,R_0201_0603Metric,96.845,-67.5,0.0,top
R26,1.8k,R_0201_0603Metric,111.345,-68.0,0.0,top
R4,1k,R_0201_0603Metric,90.845,-93.0,0.0,top
R5,1k,R_0201_0603Metric,107.345,-94.5,0.0,top
R6,10k,R_0201_0603Metric,106.845,-83.5,0.0,top
R7,10k,R_0201_0603Metric,95.345,-85.0,0.0,top
R8,6.8K,R_0201_0603Metric,95.345,-52.5,0.0,top
R9,6.8K,R_0201_0603Metric,96.845,-56.5,0.0,top
SW2,SW_Nidec_CAS-120A1,Nidec_Copal_CAS-120A,125.725,-75.475,0.0,top
TP1,TestPoint,TestPoint_Pad_D1.5mm,115.275,-95.275,0.0,top
TP2,TestPoint,TestPoint_Pad_D1.5mm,115.275,-98.825,0.0,top
TP3,TestPoint,TestPoint_Pad_D1.5mm,118.825,-95.275,0.0,top
TP4,TestPoint,TestPoint_Pad_D1.5mm,118.825,-98.825,0.0,top
TP5,TestPoint,TestPoint_Pad_D1.5mm,122.375,-95.275,0.0,top
TP6,TestPoint,TestPoint_Pad_D1.5mm,122.375,-98.825,0.0,top
TP7,TestPoint,TestPoint_Pad_D1.5mm,125.925,-95.275,0.0,top
TP8,TestPoint,TestPoint_Pad_D1.5mm,125.925,-98.825,0.0,top
U1,DRV8833PW,TSSOP-16_4.4x5mm_P0.65mm,73.8625,-92.475,0.0,top
U2,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,87.8625,-55.0,0.0,top
U3,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,139.025,-103.135,0.0,top
U4,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,107.45,-70.4,0.0,top
U5,MT3608,SOT-23-6,141.0,-69.0,0.0,top
U6,DRV8833PW,TSSOP-16_4.4x5mm_P0.65mm,73.8625,-75.5,0.0,top
U7,AMS1117-3.3,SOT-223-3_TabPin2,121.0,-55.0,0.0,top
